Record_ID,Timestamp,Plant_Location,Production_Line,Machine_ID,Machine_Name,Machine_Type,Manufacturer,Model,Year_Installed,Operating_Hours,Motor_Temp_C,Ambient_Temp_C,Vibration_mm_s,RPM,Power_Draw_kW,Conveyor_Speed_m_min,Pressure_PSI,Hydraulic_Fluid_Temp_C,Noise_Level_dB,Product_Type,Batch_ID,Units_Produced,Defect_Count,Defect_Rate_Pct,Downtime_Minutes,Last_Maintenance_Date,Maintenance_Type,Days_Since_Maintenance,Firmware_Version,Sensor_Status,Error_Code,Error_Description,Operator_ID,Shift,Throughput_Units_Hr,OEE_Pct,Severity_Level,Severity_Description,Corrective_Action
REC-00210,2024-01-23 01:31:35,Toronto-Main,BRD-Line-B,TOR-PRF-7100-04,Continuous Proofer,Proofing,Auto-Bake,SerpSystem,2019,26233,49.5,31.5,3.7,2539,25.2,6.3,84.5,74.7,80.4,Cinnamon Rolls,B-20240123-8211,24289,313,1.29,0,2023-10-25,Predictive,90,v4.1.1,All Normal,E1003,Lubrication reminder triggered,OP-1004,Night (10PM-6AM),3036,97.7,1,Normal Operation,Schedule lubrication
REC-00265,2024-01-25 16:14:41,Brampton-West,BUN-Line-A,BRA-FRZ-9100-04,Spiral Freezer,Freezing,JBT FoodTech,GYRoCOMPACT,2019,44508,60.3,24.5,3.93,2041,81.0,5.3,137.3,63.2,73.9,Pound Cake,B-20240125-8724,1143,9,0.81,0,2023-11-11,Inspection,75,v4.1.1,Offline — Sensor #1,E1006,Sensor reading intermittent,OP-1019,Night (10PM-6AM),143,86.8,1,Normal Operation,Clean sensor housing
REC-00138,2024-01-28 14:28:52,Toronto-Main,PKG-Line-D,TOR-DEC-3400-01,Icing Applicator,Decorating,FLM,SprayMaster 200,2020,38512,58.8,27.2,4.35,1968,15.2,12.2,27.1,40.0,74.1,Artisan Sourdough,B-20240128-8751,23983,230,0.96,5,2023-04-21,Lubrication,282,v6.0.1,Degraded — Sensor #2,E1001,Minor vibration threshold exceeded,OP-1007,Night (10PM-6AM),3029,91.0,1,Normal Operation,Monitor during next shift
REC-00198,2024-01-30 01:52:25,Brampton-West,FRZ-Line-C,BRA-PKG-0400-01,Labeling System,Packaging,Videojet,9550,2020,11784,89.5,20.6,7.76,578,14.0,23.0,111.7,44.2,80.8,Naan,B-20240130-2422,16787,747,4.45,88,2023-09-08,Overhaul,144,v5.1.3,Offline — Sensor #1,E2006,PLC communication intermittent,OP-1020,Morning (6AM-2PM),2569,71.4,2,Degraded Performance,Check wiring harness and PLC module
REC-00412,2024-01-31 22:40:05,Toronto-Main,PKG-Line-D,TOR-SHT-5200-03,Croissant Laminator,Sheeting/Laminating,Fritsch,CTL-800,2019,61783,61.9,20.2,4.3,2294,43.1,22.1,57.7,37.3,89.3,Naan,B-20240131-4532,18619,417,2.24,83,2023-08-03,Overhaul,181,v3.2.1,All Normal,E2009,Freezer compressor cycling abnormally,OP-1002,Night (10PM-6AM),2814,60.4,2,Degraded Performance,Check refrigerant charge and compressor
REC-00425,2024-02-01 05:39:25,Brampton-West,BUN-Line-A,BRA-FRZ-9100-03,Spiral Freezer,Freezing,JBT FoodTech,GYRoCOMPACT,2019,32169,69.2,28.3,8.09,1371,71.6,21.8,43.1,36.3,87.9,Cinnamon Rolls,B-20240201-4084,9439,453,4.8,39,2023-12-21,Overhaul,42,v4.0.2,Degraded — Sensor #5,E2004,Excessive product defects detected,OP-1017,Night (10PM-6AM),1284,75.2,2,Degraded Performance,Halt line — recalibrate depositor heads
REC-00378,2024-02-02 04:46:08,Brampton-West,PKG-Line-E,BRA-FRZ-9200-02,Tunnel Freezer,Freezing,Starfrost,IQF Helix,2021,25409,45.8,31.5,3.48,2667,77.5,27.2,78.4,73.1,75.5,Tortillas,B-20240202-6715,11352,32,0.29,0,2023-05-23,Calibration,255,v5.2.0,All Normal,E1006,Sensor reading intermittent,OP-1020,Morning (6AM-2PM),1419,92.2,1,Normal Operation,Clean sensor housing
REC-00385,2024-02-03 15:27:51,Brampton-West,BUN-Line-B,BRA-DEP-1100-02,Servo Depositor,Depositing,Unifiller,Multi-Station,2020,35522,49.4,27.3,1.66,1702,14.0,24.4,80.3,66.6,68.0,Bagels,B-20240203-8488,4436,6,0.15,10,2023-02-09,Calibration,359,v3.2.1,All Normal,E1007,Minor speed fluctuation logged,OP-1003,Night (10PM-6AM),566,89.9,1,Normal Operation,Log and monitor
REC-00415,2024-02-08 16:02:10,Vaughan-North,DON-Line-B,VAU-QC-5600-03,Metal Detector,Quality Control,Mettler-Toledo,Safeline,2019,33247,45.0,20.9,3.74,2106,8.4,4.3,72.4,67.7,75.5,Cinnamon Rolls,B-20240208-1965,16668,243,1.46,0,2023-04-25,Emergency,289,v5.2.0,All Normal,E1004,Filter change indicator active,OP-1048,Afternoon (2PM-10PM),2084,91.0,1,Normal Operation,Replace filter at next maintenance window
REC-00401,2024-02-09 16:01:28,Toronto-Main,BRD-Line-B,TOR-PKG-0200-05,Case Packer,Packaging,Brenton,M2000,2019,48908,88.2,23.3,6.27,2759,27.5,4.2,141.6,40.1,92.6,Artisan Sourdough,B-20240209-7849,18160,642,3.54,99,2023-05-24,Corrective,261,v3.2.1,Offline — Sensor #1,E2006,PLC communication intermittent,OP-1043,Night (10PM-6AM),2860,74.6,2,Degraded Performance,Check wiring harness and PLC module
REC-00431,2024-02-11 18:45:56,Brampton-West,BUN-Line-B,BRA-DEP-1100-03,Servo Depositor,Depositing,Unifiller,Multi-Station,2020,25742,53.3,25.0,3.51,281,12.4,14.2,64.1,59.4,73.5,Bagels,B-20240211-6096,13175,180,1.37,15,2023-08-20,Inspection,175,v3.2.1,All Normal,E0000,No fault detected,OP-1027,Morning (6AM-2PM),1700,85.7,1,Normal Operation,None required
REC-00366,2024-02-15 19:45:03,Milton-South,CKE-Line-B,MIL-FRZ-9200-01,Tunnel Freezer,Freezing,Starfrost,IQF Helix,2021,49693,97.3,24.5,11.39,3413,90.8,16.4,72.0,77.7,84.3,Tortillas,B-20240215-7436,3871,193,5.01,684,2023-02-25,Emergency,355,v4.0.2,Degraded — Sensor #2,E3005,Conveyor chain snapped,OP-1047,Afternoon (2PM-10PM),3871,35.9,3,Critical Failure,Emergency stop — replace chain and sprockets
REC-00391,2024-02-16 13:39:43,Toronto-Main,PAS-Line-C,TOR-DEC-3400-03,Icing Applicator,Decorating,FLM,SprayMaster 200,2020,15140,64.2,30.3,7.28,1065,13.7,24.6,93.3,57.5,100.9,Whole Wheat Bread,B-20240216-6666,2818,114,4.07,111,2023-08-28,Calibration,172,v3.4.0,Offline — Sensor #1,E2001,Motor overheating — thermal cutoff warning,OP-1009,Afternoon (2PM-10PM),458,72.9,2,Degraded Performance,Reduce load and inspect cooling system
REC-00046,2024-02-17 14:58:46,Toronto-Main,BRD-Line-B,TOR-CNV-1400-04,Incline Conveyor,Conveying,Dorner,AquaPruf 7400,2019,31730,56.6,20.2,3.61,3190,10.7,20.9,55.4,59.8,74.7,Pita,B-20240217-7785,9451,80,0.85,0,2023-08-26,Overhaul,175,v3.4.0,All Normal,E1004,Filter change indicator active,OP-1028,Morning (6AM-2PM),1181,96.1,1,Normal Operation,Replace filter at next maintenance window
REC-00173,2024-02-19 07:14:44,Milton-South,CKE-Line-A,MIL-PRF-7100-01,Continuous Proofer,Proofing,Auto-Bake,SerpSystem,2019,19465,40.4,19.7,4.08,3246,22.6,12.8,146.7,41.1,84.9,Muffins,B-20240219-8550,24595,93,0.38,0,2023-08-02,Corrective,201,v4.1.1,All Normal,E1007,Minor speed fluctuation logged,OP-1025,Night (10PM-6AM),3074,95.3,1,Normal Operation,Log and monitor
REC-00190,2024-02-20 01:36:17,Vaughan-North,DON-Line-A,VAU-SLC-2100-04,Ultrasonic Slicer,Slicing,Bettendorf Stanford,UltraCut,2019,16585,88.0,30.1,23.76,1110,24.9,23.7,99.0,103.0,98.0,Flatbread,B-20240220-9784,17710,2628,14.84,621,2023-03-13,Preventive,344,v3.4.0,Degraded — Sensor #5,E3004,Hydraulic line rupture,OP-1030,Morning (6AM-2PM),17710,37.8,3,Critical Failure,Lockout/tagout — repair hydraulic line immediately
REC-00079,2024-02-22 03:48:51,Vaughan-North,DON-Line-A,VAU-DEP-1100-01,Servo Depositor,Depositing,Unifiller,Multi-Station,2020,28362,57.6,30.8,3.6,2459,13.4,18.7,107.4,44.4,71.0,Croissants,B-20240222-9540,7743,16,0.21,0,2023-07-12,Calibration,225,v5.0.0,All Normal,E1003,Lubrication reminder triggered,OP-1004,Night (10PM-6AM),968,85.7,1,Normal Operation,Schedule lubrication
REC-00107,2024-02-24 22:26:58,Mississauga-East,PKG-Line-H,MIS-FRZ-9200-03,Tunnel Freezer,Freezing,Starfrost,IQF Helix,2021,18270,97.2,18.7,9.32,1014,107.6,29.5,144.0,72.8,91.6,Bagels,B-20240224-6090,11224,909,8.1,634,2023-07-25,Corrective,214,v6.0.1,Offline — Sensor #1,E3006,Oven heating element failure — complete,OP-1024,Morning (6AM-2PM),11224,37.0,3,Critical Failure,Shut down oven — replace element bank
REC-00073,2024-02-27 22:34:45,Brampton-West,PKG-Line-E,BRA-CLR-8100-01,Spiral Cooler,Cooling,IJ White,Ultra Spiral,2018,56801,88.1,26.0,9.77,539,26.0,11.4,79.1,58.9,93.1,Croissants,B-20240227-9261,15836,750,4.74,19,2023-08-07,Emergency,204,v4.1.1,All Normal,E2003,Conveyor belt misalignment detected,OP-1022,Morning (6AM-2PM),2061,55.3,2,Degraded Performance,Realign belt and inspect rollers
REC-00160,2024-02-28 15:37:15,Vaughan-North,PKG-Line-G,VAU-ING-8900-03,Flour Sifter,Ingredient Handling,Kason,Vibroscreen,2016,48635,54.2,25.3,2.26,897,10.8,18.8,87.1,40.4,68.4,Whole Wheat Bread,B-20240228-6893,8339,25,0.3,15,2023-04-28,Preventive,306,v4.0.2,Degraded — Sensor #2,E1002,Slight temperature drift detected,OP-1018,Afternoon (2PM-10PM),1076,96.9,1,Normal Operation,Recalibrate sensor at next PM
REC-00457,2024-03-02 06:53:56,Brampton-West,FRZ-Line-C,BRA-SHT-5100-03,Dough Sheeter,Sheeting/Laminating,Rademaker,Sigma Laminator,2021,59052,94.1,21.0,10.78,1555,23.3,26.6,142.8,74.9,103.7,White Bread,B-20240302-8273,24877,3706,14.9,358,2023-09-22,Overhaul,162,v5.2.0,Offline — Sensor #1,E3004,Hydraulic line rupture,OP-1029,Afternoon (2PM-10PM),12235,51.5,3,Critical Failure,Lockout/tagout — repair hydraulic line immediately
REC-00379,2024-03-04 20:19:05,Mississauga-East,ICE-Line-C,MIS-OVN-6200-04,Rack Oven,Baking,Werner & Pfleiderer,Matador MD,2018,54122,43.7,27.5,4.38,2242,96.0,19.5,106.4,43.7,70.8,Bagels,B-20240304-1255,15372,115,0.75,15,2023-07-15,Preventive,233,v4.1.1,All Normal,E1005,Belt tension marginal,OP-1038,Morning (6AM-2PM),1983,84.4,1,Normal Operation,Inspect belt at next downtime
REC-00392,2024-03-05 20:12:59,Toronto-Main,BRD-Line-A,TOR-WTR-7700-05,Reverse Osmosis Unit,Water Treatment,Pentair,RO-4800,2017,16761,44.1,18.4,3.9,3302,47.5,17.0,131.8,60.7,79.8,Artisan Sourdough,B-20240305-8899,2208,32,1.46,0,2023-04-07,Calibration,333,v5.2.0,Degraded — Sensor #5,E1007,Minor speed fluctuation logged,OP-1028,Night (10PM-6AM),276,96.9,1,Normal Operation,Log and monitor
REC-00263,2024-03-11 01:15:35,Mississauga-East,TRT-Line-A,MIS-ING-8800-04,Ingredient Dosing System,Ingredient Handling,Brabender,FlexWall Plus,2020,29067,45.7,27.3,2.84,835,23.4,25.6,25.9,48.7,79.1,English Muffins,B-20240311-8454,22463,258,1.15,0,2024-01-22,Inspection,49,v5.0.0,All Normal,E1004,Filter change indicator active,OP-1012,Morning (6AM-2PM),2808,83.8,1,Normal Operation,Replace filter at next maintenance window
REC-00377,2024-03-11 04:18:09,Toronto-Main,PAS-Line-C,TOR-FRZ-9200-05,Tunnel Freezer,Freezing,Starfrost,IQF Helix,2021,34974,63.0,31.9,8.82,1154,88.4,9.1,79.6,67.2,87.5,English Muffins,B-20240311-9484,22255,594,2.67,77,2023-12-16,Inspection,86,v3.4.0,Degraded — Sensor #5,E2002,Hydraulic pressure out of range,OP-1044,Night (10PM-6AM),3313,74.8,2,Degraded Performance,Check hydraulic lines and seals
REC-00067,2024-03-16 14:06:24,Toronto-Main,PAS-Line-C,TOR-WTR-7700-05,Reverse Osmosis Unit,Water Treatment,Pentair,RO-4800,2017,59824,51.1,28.7,3.89,1598,29.1,3.4,93.0,46.3,70.8,Flatbread,B-20240316-9261,15257,99,0.65,0,2023-04-16,Emergency,335,v3.4.0,Degraded — Sensor #5,E1004,Filter change indicator active,OP-1007,Afternoon (2PM-10PM),1907,93.6,1,Normal Operation,Replace filter at next maintenance window
REC-00286,2024-03-21 13:35:06,Milton-South,PKG-Line-F,MIL-DEC-3400-03,Icing Applicator,Decorating,FLM,SprayMaster 200,2020,9976,45.8,30.9,3.54,2280,11.6,2.1,45.3,33.7,76.4,White Bread,B-20240321-4696,23095,307,1.33,0,2023-04-07,Calibration,349,v3.4.0,Offline — Sensor #1,E1007,Minor speed fluctuation logged,OP-1013,Morning (6AM-2PM),2887,82.8,1,Normal Operation,Log and monitor
REC-00380,2024-03-23 15:11:21,Vaughan-North,FRY-Line-C,VAU-MIX-3100-04,Industrial Dough Mixer,Mixing,VMI,Phebus K1600,2018,25085,67.5,28.8,6.1,735,80.5,22.0,38.5,63.0,90.8,Hamburger Buns,B-20240323-5764,7671,191,2.49,79,2023-04-19,Preventive,339,v6.0.1,Degraded — Sensor #5,E2001,Motor overheating — thermal cutoff warning,OP-1016,Night (10PM-6AM),1148,73.0,2,Degraded Performance,Reduce load and inspect cooling system
REC-00027,2024-03-24 06:41:28,Brampton-West,BUN-Line-B,BRA-PKG-0100-01,Flow Wrapper,Packaging,Bosch,Pack 401,2020,18265,53.2,30.7,3.66,1317,34.1,29.7,59.7,57.9,77.2,Hot Dog Buns,B-20240324-4404,20996,71,0.34,5,2024-01-23,Overhaul,61,v5.0.0,Degraded — Sensor #2,E1006,Sensor reading intermittent,OP-1011,Morning (6AM-2PM),2652,88.1,1,Normal Operation,Clean sensor housing
REC-00096,2024-03-24 06:46:21,Milton-South,CKE-Line-A,MIL-WTR-7700-02,Reverse Osmosis Unit,Water Treatment,Pentair,RO-4800,2017,14787,114.4,19.2,14.96,226,61.2,8.2,24.3,79.0,87.2,Pita,B-20240324-9115,18513,1742,9.41,574,2023-09-09,Corrective,197,v3.4.0,Multiple Sensors Offline,E3009,Electrical fault — arc flash risk,OP-1050,Night (10PM-6AM),18513,26.9,3,Critical Failure,De-energize immediately — call certified electrician
REC-00308,2024-03-25 00:01:26,Brampton-West,BUN-Line-B,BRA-CNV-1400-05,Incline Conveyor,Conveying,Dorner,AquaPruf 7400,2019,23078,36.9,20.0,2.47,936,7.8,6.9,91.4,65.8,69.1,Danish Pastry,B-20240325-2280,14467,206,1.43,0,2023-12-22,Inspection,94,v5.0.0,Degraded — Sensor #5,E0000,No fault detected,OP-1047,Morning (6AM-2PM),1808,92.1,1,Normal Operation,None required
REC-00213,2024-03-29 08:42:40,Mississauga-East,TRT-Line-B,MIS-OVN-6200-01,Rack Oven,Baking,Werner & Pfleiderer,Matador MD,2018,7661,61.9,19.1,3.28,1957,94.0,9.7,75.5,70.7,80.4,English Muffins,B-20240329-5216,5807,22,0.38,0,2023-05-24,Corrective,310,v5.0.0,All Normal,E1002,Slight temperature drift detected,OP-1025,Afternoon (2PM-10PM),726,92.6,1,Normal Operation,Recalibrate sensor at next PM
REC-00280,2024-04-01 12:27:47,Mississauga-East,ICE-Line-C,MIS-CLR-8100-01,Spiral Cooler,Cooling,IJ White,Ultra Spiral,2018,48746,44.6,30.6,2.15,312,14.8,23.1,96.2,52.2,80.0,Flatbread,B-20240401-2885,9324,45,0.49,0,2024-03-02,Preventive,30,v5.1.3,All Normal,E1001,Minor vibration threshold exceeded,OP-1036,Afternoon (2PM-10PM),1166,97.1,1,Normal Operation,Monitor during next shift
REC-00248,2024-04-03 00:33:00,Mississauga-East,TRT-Line-B,MIS-CNV-1300-04,Modular Belt Conveyor,Conveying,Intralox,Series 2400,2018,11682,60.3,29.8,2.14,1193,9.6,20.1,53.3,57.1,73.1,Hot Dog Buns,B-20240403-3456,6788,87,1.29,0,2023-12-01,Preventive,124,v4.1.1,All Normal,E1004,Filter change indicator active,OP-1030,Afternoon (2PM-10PM),848,92.1,1,Normal Operation,Replace filter at next maintenance window
REC-00339,2024-04-04 10:32:30,Brampton-West,PKG-Line-E,BRA-WTR-7700-05,Reverse Osmosis Unit,Water Treatment,Pentair,RO-4800,2017,59033,104.7,21.8,16.66,853,36.5,18.0,97.0,70.4,103.2,Danish Pastry,B-20240404-8461,17009,1733,10.19,519,2023-07-16,Emergency,263,v5.0.0,Degraded — Sensor #2,E3003,PLC controller unresponsive,OP-1019,Night (10PM-6AM),17009,22.0,3,Critical Failure,Replace PLC module — full system restart
REC-00281,2024-04-11 16:27:32,Vaughan-North,DON-Line-A,VAU-DEC-3400-02,Icing Applicator,Decorating,FLM,SprayMaster 200,2020,61882,42.4,24.2,2.72,3566,13.0,7.7,145.8,46.8,84.7,Cinnamon Rolls,B-20240411-9806,14385,169,1.18,0,2024-04-01,Inspection,10,v3.2.1,All Normal,E1001,Minor vibration threshold exceeded,OP-1030,Night (10PM-6AM),1798,91.1,1,Normal Operation,Monitor during next shift
REC-00455,2024-04-14 06:01:21,Toronto-Main,BRD-Line-A,TOR-OVN-6200-05,Rack Oven,Baking,Werner & Pfleiderer,Matador MD,2018,12369,77.2,28.7,6.81,1865,102.7,15.0,135.6,74.7,83.8,English Muffins,B-20240414-2196,6453,243,3.78,39,2023-07-26,Lubrication,263,v6.0.1,Offline — Sensor #1,E2002,Hydraulic pressure out of range,OP-1002,Afternoon (2PM-10PM),878,75.3,2,Degraded Performance,Check hydraulic lines and seals
REC-00044,2024-04-14 06:54:40,Toronto-Main,BRD-Line-A,TOR-SHT-5200-04,Croissant Laminator,Sheeting/Laminating,Fritsch,CTL-800,2019,8328,61.8,23.0,9.74,2825,58.2,13.8,139.1,32.3,87.2,Bagels,B-20240414-6761,3894,135,3.47,100,2023-10-06,Overhaul,191,v4.0.2,Offline — Sensor #1,E2009,Freezer compressor cycling abnormally,OP-1015,Morning (6AM-2PM),615,58.3,2,Degraded Performance,Check refrigerant charge and compressor
REC-00354,2024-04-15 21:15:27,Milton-South,MIX-Line-C,MIL-PKG-0400-01,Labeling System,Packaging,Videojet,9550,2020,6661,67.7,20.0,6.84,607,14.8,15.7,67.3,42.9,90.2,Croissants,B-20240415-8222,12517,300,2.4,71,2024-01-14,Lubrication,92,v5.1.3,All Normal,E2008,Oven zone temperature inconsistency,OP-1044,Afternoon (2PM-10PM),1836,72.6,2,Degraded Performance,Inspect heating elements and thermocouples
REC-00300,2024-04-16 19:40:12,Vaughan-North,DON-Line-B,VAU-OVN-6300-02,Spiral Oven,Baking,Spooner,QuadraTherm,2020,22300,64.8,27.6,7.45,1228,75.5,29.8,77.9,67.1,95.1,Cinnamon Rolls,B-20240416-9615,11277,292,2.59,40,2023-09-07,Inspection,222,v6.0.1,Offline — Sensor #1,E2008,Oven zone temperature inconsistency,OP-1037,Morning (6AM-2PM),1538,68.6,2,Degraded Performance,Inspect heating elements and thermocouples
REC-00091,2024-04-17 10:25:19,Vaughan-North,PKG-Line-G,VAU-OVN-6300-03,Spiral Oven,Baking,Spooner,QuadraTherm,2020,17861,58.7,25.5,0.8,2933,76.1,3.0,145.9,61.6,81.2,Hamburger Buns,B-20240417-2791,8634,128,1.49,0,2023-12-09,Lubrication,130,v4.0.2,All Normal,E1006,Sensor reading intermittent,OP-1037,Night (10PM-6AM),1079,91.3,1,Normal Operation,Clean sensor housing
REC-00207,2024-04-21 10:53:04,Toronto-Main,BRD-Line-B,TOR-WTR-7700-04,Reverse Osmosis Unit,Water Treatment,Pentair,RO-4800,2017,10898,60.8,24.4,4.07,1837,41.2,14.6,66.2,38.4,77.1,Pound Cake,B-20240421-4878,23835,247,1.04,0,2024-03-08,Emergency,44,v5.2.0,All Normal,E1006,Sensor reading intermittent,OP-1003,Morning (6AM-2PM),2979,92.0,1,Normal Operation,Clean sensor housing
REC-00011,2024-04-22 16:36:12,Toronto-Main,PKG-Line-D,TOR-OVN-6100-01,Tunnel Oven,Baking,GEA,ThermoGlide 3000,2016,37234,63.0,24.1,4.02,2325,101.0,19.1,148.3,59.4,65.2,Artisan Sourdough,B-20240422-5905,22237,293,1.32,0,2024-01-03,Corrective,110,v4.0.2,All Normal,E1002,Slight temperature drift detected,OP-1008,Morning (6AM-2PM),2780,86.6,1,Normal Operation,Recalibrate sensor at next PM
REC-00104,2024-04-23 09:19:59,Toronto-Main,BRD-Line-A,TOR-MIX-3100-03,Industrial Dough Mixer,Mixing,VMI,Phebus K1600,2018,16138,107.8,23.6,18.69,2723,73.1,19.2,56.1,82.4,92.8,Muffins,B-20240423-3545,18076,1719,9.51,545,2024-04-02,Lubrication,21,v5.2.0,Offline — Sensor #1,E3007,Freezer compressor seized,OP-1020,Night (10PM-6AM),18076,23.3,3,Critical Failure,Transfer product — emergency compressor replacement
REC-00063,2024-04-24 13:37:33,Brampton-West,FRZ-Line-C,BRA-SHT-5100-04,Dough Sheeter,Sheeting/Laminating,Rademaker,Sigma Laminator,2021,32528,61.3,19.8,3.62,2159,31.2,3.6,36.1,36.9,68.3,English Muffins,B-20240424-4694,11838,113,0.96,0,2023-05-11,Emergency,349,v3.4.0,All Normal,E1002,Slight temperature drift detected,OP-1013,Night (10PM-6AM),1480,94.3,1,Normal Operation,Recalibrate sensor at next PM
REC-00408,2024-04-25 11:58:52,Milton-South,CKE-Line-B,MIL-ING-8800-03,Ingredient Dosing System,Ingredient Handling,Brabender,FlexWall Plus,2020,20095,56.2,27.9,1.76,2235,17.8,25.6,105.9,69.5,65.7,White Bread,B-20240425-5029,4985,69,1.39,0,2023-09-05,Calibration,233,v4.1.1,Offline — Sensor #1,E1001,Minor vibration threshold exceeded,OP-1017,Afternoon (2PM-10PM),623,83.6,1,Normal Operation,Monitor during next shift
